timestamp,monitor_mac,target_mac,rssi,anchor_position_x,anchor_position_y
1725298068.1108515,24a1602ccfab,342eb61ec446,-61.0,1.7390980230642492,5.250142092257
1725298068.1118517,d8bfc0117c7d,342eb61ec446,-73.0,0.3035028830312996,2.822681219110377
1725298068.3155286,d8bfc0117c7d,342eb61ec446,-74.0,0.3035028830312996,2.822681219110377
1725298068.3164976,24a1602ccfab,342eb61ec446,-61.0,1.7390980230642492,5.250142092257
1725298069.1352773,24a1602ccfab,342eb61ec446,-61.0,1.7390980230642492,5.250142092257
1725298069.1365728,d8bfc0117c7d,342eb61ec446,-73.0,0.3035028830312996,2.822681219110377
1725298069.3413985,24a1602ccfab,342eb61ec446,-62.0,1.7390980230642492,5.250142092257
1725298069.48475,24a1602ccfab,342eb61ec446,-61.0,1.7390980230642492,5.250142092257
1725298069.4878218,d8bfc0117c7d,342eb61ec446,-73.0,0.3035028830312996,2.822681219110377
1725298069.4889185,24a1602ccfab,342eb61ec446,-61.0,1.7390980230642492,5.250142092257
1725298069.721119,24a1602ccfab,342eb61ec446,-61.0,1.7390980230642492,5.250142092257
1725298069.7222955,d8bfc0117c7d,342eb61ec446,-73.0,0.3035028830312996,2.822681219110377
1725298070.26192,24a1602ccfab,342eb61ec446,-62.0,1.7390980230642492,5.250142092257
1725298070.2629185,d8bfc0117c7d,342eb61ec446,-73.0,0.3035028830312996,2.822681219110377
1725298070.345815,24a1602ccfab,342eb61ec446,-62.0,1.7390980230642492,5.250142092257
1725298070.3468628,d8bfc0117c7d,342eb61ec446,-74.0,0.3035028830312996,2.822681219110377
1725298070.3871317,24a1602ccfab,342eb61ec446,-62.0,1.7390980230642492,5.250142092257
1725298070.389174,d8bfc0117c7d,342eb61ec446,-74.0,0.3035028830312996,2.822681219110377
1725298070.4084184,24a1602ccfab,342eb61ec446,-62.0,1.7390980230642492,5.250142092257
1725298070.4094636,d8bfc0117c7d,342eb61ec446,-74.0,0.3035028830312996,2.822681219110377
1725298070.411726,d8bfc0117c7d,342eb61ec446,-73.0,0.3035028830312996,2.822681219110377
1725298070.4226797,24a1602ccfab,342eb61ec446,-63.0,1.7390980230642492,5.250142092257
1725298070.4246764,d8bfc0117c7d,342eb61ec446,-74.0,0.3035028830312996,2.822681219110377
1725298070.4287128,d8bfc0117c7d,342eb61ec446,-74.0,0.3035028830312996,2.822681219110377
1725298070.4307585,24a1602ccfab,342eb61ec446,-63.0,1.7390980230642492,5.250142092257
1725298070.4673471,24a1602ccfab,342eb61ec446,-59.0,1.7390980230642492,5.250142092257
1725298070.469341,d8bfc0117c7d,342eb61ec446,-72.0,0.3035028830312996,2.822681219110377
1725298070.6745262,24a1602ccfab,342eb61ec446,-62.0,1.7390980230642492,5.250142092257
1725298070.6760721,d8bfc0117c7d,342eb61ec446,-73.0,0.3035028830312996,2.822681219110377
1725298071.2864804,d8bfc0117c7d,342eb61ec446,-73.0,0.3035028830312996,2.822681219110377
1725298071.3409975,24a1602ccfab,342eb61ec446,-62.0,1.7390980230642492,5.250142092257
1725298071.500884,24a1602ccfab,342eb61ec446,-62.0,1.7390980230642492,5.250142092257
1725298071.5028696,d8bfc0117c7d,342eb61ec446,-72.0,0.3035028830312996,2.822681219110377
1725298071.5038207,24a1602ccfab,342eb61ec446,-63.0,1.7390980230642492,5.250142092257
1725298071.5078602,d8bfc0117c7d,342eb61ec446,-73.0,0.3035028830312996,2.822681219110377
1725298071.5118272,24a1602ccfab,342eb61ec446,-63.0,1.7390980230642492,5.250142092257
